name,openPrice,high_low,close,prevCloseDate,marketCap,mthvwap,sharesOutstanding,normalizedEPS,unadjVWAP,adjVWAP,peratio,evebita,pricebookvalue,dividend,debtebita,debt,enterpriseValue,assets,cash,capEx,EBIT,revenue,netincome,ebita
DBS,24.12,24.08,24.18,04/Feb/2019,61859020000.0,24.462,2558270000.0,1.563,"
										-
									","
										-
									",11.515,-,1.296,S$ 0.6,-,84043000000.0,115921020000.0,541524000000.0,30820000000.0,-435000000.0,-,12260000000.0,5452000000.0,-
UOB,25.47,25.25,25.25,04/Feb/2019,42059270000.0,25.596,1665710000.0,1.793,"
										-
									","
										-
									",10.78,-,1.15,S$ 0.5,-,23906000000.0,-9766730000.0,382638000000.0,75922000000.0,-454390000.0,-,9014830000.0,3947290000.0,-
SingTel,3.03,3.0,3.02,04/Feb/2019,49298780000.0,3.102,16324100000.0,0.148,"
										-
									","
										-
									",15.142,9.123,1.707,S$ 0.068,2.162,10665100000.0,59245780000.0,47397300000.0,706900000.0,-1957600000.0,2610700000.0,17512200000.0,3205900000.0,4932900000.0
OCBC Bank,11.45,11.38,11.38,04/Feb/2019,48354230000.0,11.212,4249020000.0000005,0.825,"
										-
									","
										-
									",10.059,-,1.153,S$ 0.2,-,40849000000.0,27765230000.0,464115000000.0,62678000000.0,-283240000.0,-,9835840000.0,4701440000.0,-
CityDev,9.02,8.99,9.08,04/Feb/2019,8234660000.0,8.702,906900000.0,0.46,"
										-
									","
										-
									",13.544,11.214,0.811,S$ 0.06,4.866,5643310000.0,13488240000.0,20414040000.0,2630520000.0,-161860000.0,950830000.0,4761430000.0,628570000.0,1159850000.0
ThaiBev,0.765,0.76,0.77,04/Feb/2019,19337420000.0,0.656,25111320000.0,0.025,"
										-
									","
										-
									",24.14,19.074,3.774,S$ 0.01,7.213,9781660000.0,47588200000.0,16976550000.0,955710000.0,-241860000.0,1112480000.0,9714360000.0,783670000.0,1356070000.0
Keppel Corp,6.05,6.01,6.01,04/Feb/2019,10893140000.0,6.43,1812500000.0,0.179,"
										-
									","
										-
									",11.83,20.384,0.966,S$ 0.15,12.998,7548510000.0,16642150000.000002,26606330000.0,2108429999.9999998,-254510000.0,398370000.0,5964780000.0,943830000.0,580760000.0
Genting Sing,1.1,1.09,1.1,04/Feb/2019,13254990000.0,1.0,12049990000.0,0.048,"
										-
									","
										-
									",18.291,8.238,1.737,S$ 0.015,0.835,1031829999.9999999,10391180000.0,9544400000.0,3895650000.0,-119920000.0,951500000.0,2454530000.0,739200000.0,1235880000.0
JMH USD,89.988,89.244,89.244,04/Feb/2019,28361820000.0,63.204,318100000.0,-3.072,"
										-
									","
										-
									",9.801,11.036,0.951,S$ 0.58,3.138,18645300000.0,71480420000.0,113346620000.0,7368700000.0,-1872840000.0,4526720000.0,57248520000.0,3460810000.0,5941580000.0
HongkongLand USD,9.283,9.256,9.459,04/Feb/2019,22055760000.0,6.601,2333930000.0,0.42,"
										-
									","
										-
									",4.569,15.445,0.437,S$ 0.083,5.157,6670950000.0,26347150000.0,59993860000.0,2411660000.0,-141350000.0,1288770000.0,3625330000.0,4901020000.0,1293680000.0
