name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry,new PE ratio,new roe,new roa,aquirer multiple,normalized aquirer multiple,address
Wilmar Intl,4.06,4.05,0,26 Jul 2019,25933780000.0,6330000000.0,28.12%,0.28,116590000.0,3.45125,3.45176,15.863,0.433,8.789,1.134,2.593,2.671,24243300000.0,34.416,52795760000.0,45679890000.0,3695720000.0,7.205,2.929,-1325440000.0,0,59885360000.0,1335150000.0,3.38,1667430000.0,3.004,0.415,-2.426,0,Consumer/Non-Cyclical / Food Processing / ,14.499999999999996,0.06634607005882069,0.03650249595609797,0.03158264981884909,128.5515947296138,https://www2.sgx.com/securities/equities/F34
Genting Sing,0.935,0.945,0,26 Jul 2019,11428860000.0,12060000000.0,47.05%,0.06,586430000.0,0.98239,0.98155,15.319,4.563,10.562,1.426,3.704,2.48,-3306440000.0,10.695,8253190000.000001,9767140000.0,4214240000.0,9.924,7.589,-122100000.0,0,2504480000.0,975190000.0,37.932,743680000.0,29.694,-1.926,5.453,0,Services / Casinos & Gaming / ,15.583333333333334,0.04301756959524104,0.07614101978675436,0.09010818847015517,10.376415460950948,https://www2.sgx.com/securities/equities/G13
ComfortDelGro,2.79,2.76,0,26 Jul 2019,5979320000.0,2170000000.0,98.51%,0.13,155520000.0,2.52351,2.52334,19.465,1.544,7.81,2.234,3.804,3.955,185600000.0,18.346,5963120000.0,5136700000.0,586100000.0,11.594,7.127,-368200000.0,0,3873700000.0,438800000.0,11.63,307400000.0,9.384,-0.072,2.49,0,Transportation / Misc. Transportation / ,21.46153846153846,0.05551542295745142,0.05984386863161174,0.05155019519982828,54.122006506180874,https://www2.sgx.com/securities/equities/C52
CapitaLand,3.64,3.64,0,26 Jul 2019,18697400000.0,5040000000.0,99.60%,0.39,175780000.0,3.46543,3.46591,9.446,3.544,6.203,0.782,3.297,3.186,19605500000.0,107.85,37271510000.0,64647560000.0,5059840000.0,9.434,4.556,-89350000.0,0,5275230000.0,3185590000.0,63.388,1738970000.0,55.525,9.327,15.876,0,Capital Goods / Construction Services / ,9.333333333333334,0.03470866374329117,0.026899236413563017,0.04665681642627304,78.01646744912219,https://www2.sgx.com/securities/equities/C31
Jardine C&C,36.52,35.55,0,26 Jul 2019,14050650000.0,395240000.0,23.99%,1.6,5900000.0,34.7894,34.78459,17.225,0.539,4.004,1.572,3.347,2.813,7603540000.0,45.259,21433400000.0,27326500000.0,1949300000.0,6.673,6.436,-981900000.0,0,26063490000.0,1719900000.0,10.195,815610000.0,9.247,-2.344,-15.755,0,Consumer Cyclical / Auto & Truck Manufacturers / ,22.825,0.037633823145348015,0.02984685195689166,0.03805322533989008,959.7083998479667,https://www2.sgx.com/securities/equities/C07
JMH USD,0.0,0.0,0,26 Jul 2019,47728380000.0,379580000.0,97.27%,6.07,4080000.0,0.0,0.0,14.035,1.122,8.502,0.928,2.63,2.608,9193000000.0,26.851,56921380000.0,86258000000.0,5038000000.0,6.661,5.332,-1591000000.0,0,42527000000.0,4348000000.0,10.224,1732000000.0,10.589,1.125,1.666,0,Consumer Cyclical / Auto & Truck Manufacturers / ,0.0,0.021095453272109422,0.0200792969927427,0.030427934108414097,0.0,https://www2.sgx.com/securities/equities/J36
ST Engineering,4.31,4.29,0,26 Jul 2019,13395500000.0,3120000000.0,98.75%,0.16,101330000.0,3.8944,3.89238,26.499,1.975,16.901,5.771,3.497,3.881,197320000.0,12.036,13476460000.0,7573020000.0,414820000.0,22.156,6.531,-451510000.0,0,6782670000.0,562600000.0,8.699,507670000.0,7.819,0.038,-3.328,0,Capital Goods / Aerospace & Defense / ,26.937499999999996,0.0651650980935804,0.0670366643690364,0.037670872024255626,114.4120050426458,https://www2.sgx.com/securities/equities/S63
CityDev,9.45,9.49,0,26 Jul 2019,8629270000.0,906900000.0,42.20%,0.62,40480000.0,9.04484,9.05988,13.623,2.206,9.006,0.838,1.475,1.258,4700290000.0,50.483,13566190000.0,20885690000.0,1953600000.0,5.801,3.589,-201130000.0,0,3910900000.0,904580000.0,25.236,663960000.0,18.88,5.631,-4.51,0,Capital Goods / Construction Services / ,15.241935483870966,0.03660400242571255,0.031790187444130404,0.04894226013346415,193.0846669980119,https://www2.sgx.com/securities/equities/C09
SATS,4.95,4.93,0,26 Jul 2019,5493790000.0,1100000000.0,98.70%,0.23,43030000.0,5.10154,5.10006,22.976,2.964,16.201,3.187,3.854,3.747,-110600000.0,5.796,5239660000.0,2408430000.0,349860000.0,15.132,9.682,-87640000.0,0,1853720000.0,235430000.0,12.889,239210000.0,13.375,0.572,6.729,0,Transportation / Misc. Transportation / ,21.52173913043478,0.08338068033281164,0.0993219649315114,0.045653725623418316,108.42488608335772,https://www2.sgx.com/securities/equities/S58
SGX,8.02,8.02,0,26 Jul 2019,8594570000.0,1070000000.0000001,76.42%,0.34,56720000.0,7.52253,7.52631,23.216,9.825,19.849,8.765,4.676,3.847,-663420000.0,0.0,8022970000.0,2114940000.0,571600000.0,34.123,17.708,-78570000.0,0,874730000.0,424900000.0,49.876,370920000.0,42.404,3.362,1.552,0,Financial / Investment Services / ,23.588235294117645,0.11072371013385235,0.1753808618684218,0.04623225563600512,173.47195999137278,https://www2.sgx.com/securities/equities/S68
SPH,2.24,2.24,0,26 Jul 2019,3585450000.0,1610000000.0,94.38%,0.19,84390000.0,2.40291,2.40269,13.929,3.72,11.225,1.066,3.795,3.795,1913290000.0,37.858,4711650000.0,6196690000.0,481160000.0,8.083,4.423,-22670000.0,0,963770000.0,199720000.0,20.252,244860000.0,29.315,-4.525,-8.177,0,Services / Printing & Publishing / ,11.789473684210527,0.05139194385210807,0.0395146441083869,0.051969055426442964,43.102572898799316,https://www2.sgx.com/securities/equities/T39
