name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Wilmar Intl,4.060,4.050,-,26 Jul 2019,"25,933.78M",6.33B,28.12%,0.28,116.59M,SGD 3.45125,SGD 3.45176,15.863,0.433,8.789,1.134,2.593,2.671,"24,243.30M",34.416,"52,795.76M","45,679.89M","3,695.72M",7.205,2.929,"-1,325.44M",-,"59,885.36M","1,335.15M",3.380,"1,667.43M",3.004,0.415,-2.426,-,Consumer/Non-Cyclical / Food Processing / 
Genting Sing,0.935,0.945,-,26 Jul 2019,"11,428.86M",12.06B,47.05%,0.06,586.43M,SGD 0.98239,SGD 0.98155,15.319,4.563,10.562,1.426,3.704,2.480,"-3,306.44M",10.695,"8,253.19M","9,767.14M","4,214.24M",9.924,7.589,-122.10M,-,"2,504.48M",975.19M,37.932,743.68M,29.694,-1.926,5.453,-,Services / Casinos & Gaming / 
ComfortDelGro,2.790,2.760,-,26 Jul 2019,"5,979.32M",2.17B,98.51%,0.13,155.52M,SGD 2.52351,SGD 2.52334,19.465,1.544,7.810,2.234,3.804,3.955,185.60M,18.346,"5,963.12M","5,136.70M",586.10M,11.594,7.127,-368.20M,-,"3,873.70M",438.80M,11.630,307.40M,9.384,-0.072,2.490,-,Transportation / Misc. Transportation / 
CapitaLand,3.640,3.640,-,26 Jul 2019,"18,697.40M",5.04B,99.60%,0.39,175.78M,SGD 3.46543,SGD 3.46591,9.446,3.544,6.203,0.782,3.297,3.186,"19,605.50M",107.850,"37,271.51M","64,647.56M","5,059.84M",9.434,4.556,-89.35M,-,"5,275.23M","3,185.59M",63.388,"1,738.97M",55.525,9.327,15.876,-,Capital Goods / Construction Services / 
Jardine C&C,36.520,35.550,-,26 Jul 2019,"14,050.65M",395.24M,23.99%,1.60,5.90M,SGD 34.7894,SGD 34.78459,17.225,0.539,4.004,1.572,3.347,2.813,"7,603.54M",45.259,"21,433.40M","27,326.50M","1,949.30M",6.673,6.436,-981.90M,-,"26,063.49M","1,719.90M",10.195,815.61M,9.247,-2.344,-15.755,-,Consumer Cyclical / Auto & Truck Manufacturers / 
JMH USD,USD 64.850,USD 64.650,-,26 Jul 2019,"47,728.38M",379.58M,97.27%,6.07,4.08M,USD 65.30749,USD 65.34905,14.035,1.122,8.502,0.928,2.630,2.608,"9,193.00M",26.851,"56,921.38M","86,258.00M","5,038.00M",6.661,5.332,"-1,591.00M",-,"42,527.00M","4,348.00M",10.224,"1,732.00M",10.589,1.125,1.666,-,Consumer Cyclical / Auto & Truck Manufacturers / 
ST Engineering,4.310,4.290,-,26 Jul 2019,"13,395.50M",3.12B,98.75%,0.16,101.33M,SGD 3.8944,SGD 3.89238,26.499,1.975,16.901,5.771,3.497,3.881,197.32M,12.036,"13,476.46M","7,573.02M",414.82M,22.156,6.531,-451.51M,-,"6,782.67M",562.60M,8.699,507.67M,7.819,0.038,-3.328,-,Capital Goods / Aerospace & Defense / 
CityDev,9.450,9.490,-,26 Jul 2019,"8,629.27M",906.90M,42.20%,0.62,40.48M,SGD 9.04484,SGD 9.05988,13.623,2.206,9.006,0.838,1.475,1.258,"4,700.29M",50.483,"13,566.19M","20,885.69M","1,953.60M",5.801,3.589,-201.13M,-,"3,910.90M",904.58M,25.236,663.96M,18.880,5.631,-4.510,-,Capital Goods / Construction Services / 
SATS,4.950,4.930,-,26 Jul 2019,"5,493.79M",1.10B,98.70%,0.23,43.03M,SGD 5.10154,SGD 5.10006,22.976,2.964,16.201,3.187,3.854,3.747,-110.60M,5.796,"5,239.66M","2,408.43M",349.86M,15.132,9.682,-87.64M,-,"1,853.72M",235.43M,12.889,239.21M,13.375,0.572,6.729,-,Transportation / Misc. Transportation / 
SGX,8.020,8.020,-,26 Jul 2019,"8,594.57M",1.07B,76.42%,0.34,56.72M,SGD 7.52253,SGD 7.52631,23.216,9.825,19.849,8.765,4.676,3.847,-663.42M,-,"8,022.97M","2,114.94M",571.60M,34.123,17.708,-78.57M,-,874.73M,424.90M,49.876,370.92M,42.404,3.362,1.552,-,Financial / Investment Services / 
SPH,2.240,2.240,-,26 Jul 2019,"3,585.45M",1.61B,94.38%,0.19,84.39M,SGD 2.40291,SGD 2.40269,13.929,3.720,11.225,1.066,3.795,3.795,"1,913.29M",37.858,"4,711.65M","6,196.69M",481.16M,8.083,4.423,-22.67M,-,963.77M,199.72M,20.252,244.86M,29.315,-4.525,-8.177,-,Services / Printing & Publishing / 
ThaiBev,0.845,0.835,-,26 Jul 2019,"20,969.80M",25.11B,28.48%,0.04,318.81M,SGD 0.80094,SGD 0.80266,20.999,1.830,15.393,3.768,2.018,-,"8,927.19M",179.220,"30,227.61M","417,941.61M","22,529.72M",14.839,5.921,"-7,436.99M",-,"11,456.17M","23,191.16M",9.951,993.95M,9.460,-,-,-,Consumer/Non-Cyclical / Beverages (Alcoholic) / 
HongkongLand USD,USD 6.450,USD 6.400,-,26 Jul 2019,"14,937.14M",2.33B,49.43%,1.05,36.58M,USD 6.99087,USD 6.99215,6.098,5.604,6.069,0.390,3.438,2.961,"3,563.80M",10.811,"18,589.34M","44,963.00M","1,286.80M",6.536,5.597,-150.40M,-,"2,665.40M","2,331.80M",87.484,"2,457.10M",92.185,7.595,15.721,-,Services / Real Estate Operations / 
SIA,9.630,9.620,-,26 Jul 2019,"11,542.57M",1.18B,99.59%,0.62,25.99M,SGD 9.58153,SGD 9.57881,16.748,0.707,5.467,0.857,3.119,2.911,"3,593.60M",48.343,"15,136.17M","30,505.20M","3,060.80M",5.222,2.559,"-5,667.70M",-,"16,323.20M",997.60M,6.112,682.70M,4.421,1.261,13.663,-,Transportation / Airline / 
Hi-P,1.460,1.480,-,26 Jul 2019,"1,313.02M",800.35M,14.26%,0.12,80.63M,SGD 1.39618,SGD 1.39618,11.741,0.933,7.552,2.031,3.378,7.216,-131.81M,-,"1,195.50M","1,224.68M",286.65M,18.480,8.861,-61.19M,-,"1,407.80M",124.49M,8.974,101.52M,7.210,2.472,74.225,-,Basic Materials / Fabricated Plastic & Rubber / 
UOL,7.520,7.500,-,26 Jul 2019,"6,324.24M",843.23M,54.41%,0.55,27.12M,SGD 7.01418,SGD 7.01703,14.623,2.553,7.463,0.650,2.333,2.336,"3,793.18M",29.713,"10,356.89M","20,663.71M",677.17M,4.542,3.059,-310.08M,-,"2,477.52M",710.09M,28.760,432.26M,24.701,15.689,-12.769,-,Capital Goods / Construction Services / 
Frencken,0.705,0.690,-,26 Jul 2019,292.33M,423.66M,62.63%,0.08,41.35M,SGD 0.60243,SGD 0.60241,9.162,0.452,5.861,1.063,3.101,4.206,14.91M,0.457,293.95M,463.74M,67.08M,11.728,6.906,-24.33M,-,646.12M,40.16M,6.581,31.87M,4.979,5.910,9.894,-,Capital Goods / Misc. Capital Goods / 
Golden Agri-Res,0.305,0.310,-,26 Jul 2019,"3,979.64M",12.73B,49.64%,0.00,333.98M,SGD 0.2825,SGD 0.28264,596.730,0.418,9.592,0.688,1.871,1.690,"3,370.90M",36.203,"7,843.49M","8,545.58M",510.60M,-0.043,0.172,-265.90M,-,"9,526.71M",121.09M,2.137,6.41M,0.209,1.873,-,-,Consumer/Non-Cyclical / Food Processing / 
SIA Engineering,2.680,2.650,-,26 Jul 2019,"2,978.91M",1.12B,99.43%,0.14,17.53M,SGD 2.52469,SGD 2.52469,18.459,2.918,13.893,1.940,4.151,3.899,-502.29M,0.822,"2,476.62M","1,845.28M",521.58M,10.681,8.821,-39.78M,-,"1,020.90M",56.97M,5.581,160.87M,15.766,-2.820,-9.541,-,Transportation / Misc. Transportation / 
DairyFarm USD,USD 7.410,USD 7.480,-,26 Jul 2019,"10,118.22M",1.35B,22.21%,0.16,9.70M,USD 7.97309,USD 8.00209,110.113,0.861,32.991,6.993,2.807,2.705,744.00M,1.002,"10,862.22M","5,389.60M",296.20M,5.865,1.430,-256.10M,-,"11,749.30M",78.90M,0.672,92.00M,0.660,2.548,-28.750,-,Services / Retail (Grocery) / 
Sembcorp Ind,2.460,2.450,-,26 Jul 2019,"4,379.49M",1.79B,99.46%,0.18,74.09M,SGD 2.53883,SGD 2.53969,12.108,0.384,4.500,0.633,1.633,2.764,"9,159.00M",130.672,"13,187.49M","23,321.00M","1,924.00M",5.054,1.518,"-1,127.00M",-,"11,411.35M",415.00M,3.654,363.35M,3.071,1.639,-15.691,-,Utilities / Electric Utilities / 
UMS,0.680,0.675,-,26 Jul 2019,362.09M,536.43M,76.65%,0.08,49.34M,SGD 0.70752,SGD 0.70752,9.352,3.042,8.150,1.535,5.926,7.423,-0.42M,1.496,368.28M,275.03M,18.93M,19.416,13.706,-15.69M,-,119.03M,44.62M,32.256,38.72M,32.096,1.232,8.349,-,Technology / Semiconductors / 
Sembcorp Marine,1.430,1.430,-,26 Jul 2019,"2,988.36M",2.09B,99.08%,-0.04,107.66M,SGD 1.61305,SGD 1.6136,-,0.661,23.244,1.291,1.399,-,"3,763.77M",137.279,"6,380.06M","8,577.26M",837.72M,-3.121,-0.954,-343.40M,-,"4,518.10M",-52.32M,-1.434,-77.73M,-1.816,-2.411,-,-,Transportation / Water Transportation / 
StarHub,1.520,1.520,-,26 Jul 2019,"2,632.11M",1.73B,88.79%,0.11,44.40M,SGD 1.57422,SGD 1.57432,14.272,1.099,5.303,4.527,9.375,6.029,"1,071.90M",185.268,"3,494.61M","2,635.50M",166.00M,35.712,6.765,-272.80M,-,"2,395.80M",273.50M,10.932,192.70M,7.747,-0.142,-12.644,-,Services / Communications Services / 
Alita Resources,0.098,0.102,-,26 Jul 2019,150.60M,1.48B,74.42%,-0.01,110.64M,SGD 0.17155,SGD 0.17154,-,2.185,-,0.707,-,-,24.08M,17.317,142.64M,92.21M,18.84M,-3.059,-28.171,-44.98M,-,68.93M,-0.10M,-76.191,-47.85M,-69.417,-,-,-,Basic Materials / Metal Mining / 
JSH USD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
SingPost,0.985,0.970,-,26 Jul 2019,"2,206.84M",2.25B,83.56%,0.02,53.25M,SGD 0.99486,SGD 0.99484,-,1.418,26.028,1.353,3.608,3.246,-108.57M,0.560,"2,098.26M","2,619.24M",399.45M,0.246,1.013,-31.32M,-,"1,556.69M",70.96M,4.559,4.08M,1.725,9.860,-54.511,-,Transportation / Air Courier / 
