names,last price,vol,val traded,address
DBS,25.890,"3,839.7",99.94,https://www2.sgx.com/securities/equities/D05
OCBC Bank,11.150,"3,228",36.08,https://www2.sgx.com/securities/equities/O39
UOB,24.980,"1,345.2",33.68,https://www2.sgx.com/securities/equities/U11
SingTel,3.140,"10,364.2",32.52,https://www2.sgx.com/securities/equities/Z74
Genting Sing,0.890,"32,675",29.17,https://www2.sgx.com/securities/equities/G13
ST Engineering,3.900,"6,292.6",24.7,https://www2.sgx.com/securities/equities/S63
YZJ Shipbldg SGD,1.470,"15,915.5",23.53,https://www2.sgx.com/securities/equities/BS6
Keppel Corp,6.340,"3,489.5",22.23,https://www2.sgx.com/securities/equities/BN4
SGX,7.410,"2,935",21.71,https://www2.sgx.com/securities/equities/S68
Wilmar Intl,3.560,"4,780.3",16.93,https://www2.sgx.com/securities/equities/F34
Venture,15.600,"1,012.7",15.87,https://www2.sgx.com/securities/equities/V03
ComfortDelGro,2.480,"6,193.7",15.44,https://www2.sgx.com/securities/equities/C52
CapitaLand,3.330,"4,447.3",14.87,https://www2.sgx.com/securities/equities/C31
SIA,9.300,"1,535.7",14.29,https://www2.sgx.com/securities/equities/C6L
ThaiBev,0.780,"17,401.7",13.41,https://www2.sgx.com/securities/equities/Y92
SATS,5.080,"2,474.5",12.65,https://www2.sgx.com/securities/equities/S58
CityDev,8.610,"1,300.1",11.19,https://www2.sgx.com/securities/equities/C09
UOL,7.050,"1,428.6",10.07,https://www2.sgx.com/securities/equities/U14
Jardine C&C,33.180,294.3,9.73,https://www2.sgx.com/securities/equities/C07
JMH USD,62.000,142.7,8.88,https://www2.sgx.com/securities/equities/J36
SPH,2.380,"2,853.7",6.8,https://www2.sgx.com/securities/equities/T39
Sembcorp Ind,2.530,"1,967.9",5,https://www2.sgx.com/securities/equities/U96
DairyFarm USD,7.690,619,4.78,https://www2.sgx.com/securities/equities/D01
JSH USD,35.770,126.6,4.56,https://www2.sgx.com/securities/equities/J37
HongkongLand USD,6.800,667.5,4.55,https://www2.sgx.com/securities/equities/H78
Sembcorp Marine,1.550,"2,803.7",4.38,https://www2.sgx.com/securities/equities/S51
AEM,0.965,"4,168.6",4.04,https://www2.sgx.com/securities/equities/AWX
Yanlord Land,1.410,"2,569.6",3.66,https://www2.sgx.com/securities/equities/Z25
Hi-P,1.280,"2,705.5",3.49,https://www2.sgx.com/securities/equities/H17
Golden Agri-Res,0.275,"10,439.1",2.88,https://www2.sgx.com/securities/equities/E5H
Sheng Siong,1.060,"2,441.2",2.61,https://www2.sgx.com/securities/equities/OV8
SingPost,0.955,"2,287.8",2.19,https://www2.sgx.com/securities/equities/S08
Frencken,0.625,"3,017.3",1.91,https://www2.sgx.com/securities/equities/E28
StarHub,1.520,"1,118.9",1.7,https://www2.sgx.com/securities/equities/CC3
Japfa,0.550,"2,868.6",1.57,https://www2.sgx.com/securities/equities/UD2
Raffles Medical,1.030,"1,294.8",1.33,https://www2.sgx.com/securities/equities/BSL
First Resources,1.690,780.1,1.32,https://www2.sgx.com/securities/equities/EB5
UMS,0.620,"1,950",1.21,https://www2.sgx.com/securities/equities/558
Memtech Intl,1.330,825.9,1.1,https://www2.sgx.com/securities/equities/BOL
Silverlake Axis,0.525,"2,086.8",1.1,https://www2.sgx.com/securities/equities/5CP
Thomson Medical,0.066,"16,534.3",1.09,https://www2.sgx.com/securities/equities/A50
Olam Intl,1.880,577.3,1.09,https://www2.sgx.com/securities/equities/O32
Alliance Mineral,0.190,"5,335.8",1.02,https://www2.sgx.com/securities/equities/40F
Chasen,0.101,"8,617.5",0.86,https://www2.sgx.com/securities/equities/5NV
Rex Intl,0.070,"11,872.5",0.83,https://www2.sgx.com/securities/equities/5WH
China Everbright,0.385,"1,980.2",0.75,https://www2.sgx.com/securities/equities/U9E
APAC Realty,0.500,"1,269.6",0.65,https://www2.sgx.com/securities/equities/CLN
SIA Engineering,2.450,231,0.57,https://www2.sgx.com/securities/equities/S59
Q&M Dental,0.480,"1,151.3",0.55,https://www2.sgx.com/securities/equities/QC7
TEE Intl,0.082,"6,297.2",0.53,https://www2.sgx.com/securities/equities/M1Z
TheHourGlass,0.765,687.8,0.52,https://www2.sgx.com/securities/equities/AGS
China Aviation,1.260,408.8,0.52,https://www2.sgx.com/securities/equities/G92
COSCO SHP SG,0.320,"1,462.4",0.47,https://www2.sgx.com/securities/equities/F83
Bumitama Agri,0.695,679.2,0.47,https://www2.sgx.com/securities/equities/P8Z
Man Oriental USD,1.820,255.6,0.47,https://www2.sgx.com/securities/equities/M04
OUE,1.540,281.8,0.44,https://www2.sgx.com/securities/equities/LJ3
