	name	openPrice	close	dividend	pricebookvalue	new PE ratio	margin	newevebita	roe
0	DBS	24.12	24.18	0.6	1.296	11.346105759354366	0.44469820554649264	21.262109317681585	0.011165244388194986
2	SingTel	3.03	3.02	0.068	1.707	15.377517077887644	0.18306666209842282	12.010334691560745	0.0856297293471264
3	OCBC Bank	11.45	11.38	0.2	1.153	10.2849015620746	0.4779906952532778	5.905686342907705	0.009674859654610408
4	CityDev	9.02	9.08	0.06	0.811	13.100612501392048	0.13201286168230972	11.629296891839463	0.03612211766396092
7	Genting Sing	1.1	1.1	0.015	1.737	17.93153273809524	0.3011574517321035	8.407919862769848	0.05957341181893938
8	JMH USD	89.988	89.244	0.58	0.951	8.202853204885562	0.060452392481063266	12.030540697928833	0.03390623417140508
9	HongkongLand USD	9.283	9.459	0.083	0.437	4.504499853091805	1.3518824493218549	20.3660487910457	0.08793501053296006
10	Best World	2.71	2.8	0.012	10.021	23.10136657155729	0.2939566503332892	18.80218446601942	0.17996810897002782
11	YZJ Shipbldg SGD	1.42	1.41	0.045	1.023	9.178328659099908	0.12360194366788808	4.124382757240091	0.05337085329442809
12	Venture	15.91	15.9	0.2	2.038	11.287603611604501	0.11059847482367707	8.035413991633186	0.10665431803172581
13	CapitaLand	3.34	3.32	0.12	0.74	8.969401429634182	0.298302827976805	22.890903759491326	0.03323307979722844
14	ComfortDelGro	2.38	2.32	0.043	1.955	17.987102040816325	0.06805389732219	6.722097097097097	0.05623678646934461
15	ST Engineering	3.74	3.69	0.05	5.403	21.038111886833835	0.08146517005161923	14.644182271076797	0.07532520095760308
16	SGX	7.57	7.55	0.075	8.448	21.735827078793747	0.4281666455499372	16.08051013734467	0.0
17	Sembcorp Ind	2.58	2.57	0.02	0.671	22.21701627749249	0.019028462494330732	14.486050501098504	0.014519482638800964
19	Wilmar Intl	3.32	3.31	0.035	0.966	11.285369555025031	0.03009124948715745	15.10368685403722	0.0517926796761719
21	SATS	4.81	4.8	0.06	3.336	20.450099403578527	0.1489708277802458	16.897704081632654	0.10580478135997735
22	JSH USD	51.422	51.3	0.138	0.692	7.68680080033799	0.08232946662530588	12.588810084642663	0.037630683133971436
24	Jardine C&C	37.8	37.94	0.246	1.841	18.868791020736865	0.03067403205735865	8.17306294308196	0.02740956313422036
25	Silverlake Axis	0.485	0.5	0.003	7.3	25.32831671779141	0.2695885879677486	16.770750988142293	0.09725174329716225
26	UOL	6.63	6.6	0.175	0.578	14.206645383731324	0.14855410624720192	18.051918565049572	0.02353824521495218
27	SingPost	0.965	0.95	0.005	1.253	18.318465884770138	0.07435391470401019	10.212481997119541	0.04171368577427972
28	DairyFarm USD	12.247	12.165	0.09	7.272	28.999710101508526	0.03554430823775549	21.31638673979042	0.08809059931227732
29	AEM	0.975	0.965	0.015	3.051	6.711497939206595	0.13744025491237388	4.645825009988014	0.22497826716893654
30	M1	2.05	2.05	0.06	3.642	14.530531752104055	0.11939344112542248	7.583911882510013	0.12767412327830419
