names,last price,vol,val traded,address
DBS,27.400,"2,979.4",81.69,https://www2.sgx.com/securities/equities/D05
OCBC Bank,11.770,"3,785.4",44.59,https://www2.sgx.com/securities/equities/O39
Genting Sing,0.960,"43,542",41.67,https://www2.sgx.com/securities/equities/G13
UOB,26.800,"1,497.3",40.09,https://www2.sgx.com/securities/equities/U11
SingTel,3.150,"12,481.1",39.25,https://www2.sgx.com/securities/equities/Z74
YZJ Shipbldg SGD,1.600,"21,430",34.32,https://www2.sgx.com/securities/equities/BS6
Keppel Corp,6.740,"3,320.4",22.48,https://www2.sgx.com/securities/equities/BN4
CapitaLand,3.640,"5,607.1",20.46,https://www2.sgx.com/securities/equities/C31
UOL,7.670,"2,310.4",17.72,https://www2.sgx.com/securities/equities/U14
SGX,7.330,"2,372.3",17.35,https://www2.sgx.com/securities/equities/S68
Jardine C&C,36.200,466.5,16.85,https://www2.sgx.com/securities/equities/C07
ComfortDelGro,2.610,"6,264.7",16.37,https://www2.sgx.com/securities/equities/C52
JMH USD,63.600,253.2,16.07,https://www2.sgx.com/securities/equities/J36
CityDev,9.230,"1,734.3",15.94,https://www2.sgx.com/securities/equities/C09
Wilmar Intl,3.640,"3,694.9",13.46,https://www2.sgx.com/securities/equities/F34
Best World,1.930,"6,914.8",13.26,https://www2.sgx.com/securities/equities/CGN
SIA,9.850,"1,280.6",12.58,https://www2.sgx.com/securities/equities/C6L
Venture,19.240,592.5,11.41,https://www2.sgx.com/securities/equities/V03
ThaiBev,0.825,"13,180.4",10.83,https://www2.sgx.com/securities/equities/Y92
SPH,2.470,"3,849.9",9.47,https://www2.sgx.com/securities/equities/T39
DairyFarm USD,7.810,"1,148.5",8.98,https://www2.sgx.com/securities/equities/D01
Sembcorp Marine,1.690,"4,723.8",8.05,https://www2.sgx.com/securities/equities/S51
ST Engineering,3.870,"2,032.7",7.85,https://www2.sgx.com/securities/equities/S63
HongkongLand USD,7.100,"1,012.7",7.21,https://www2.sgx.com/securities/equities/H78
Sembcorp Ind,2.710,"2,369",6.42,https://www2.sgx.com/securities/equities/U96
Hi-P,1.460,"3,840.4",5.61,https://www2.sgx.com/securities/equities/H17
SATS,5.240,"1,025.7",5.39,https://www2.sgx.com/securities/equities/S58
Golden Agri-Res,0.295,"16,271.5",4.85,https://www2.sgx.com/securities/equities/E5H
AEM,1.080,"3,810.2",4.12,https://www2.sgx.com/securities/equities/AWX
TEE Intl,0.113,"34,302.6",3.94,https://www2.sgx.com/securities/equities/M1Z
Yanlord Land,1.480,"2,481.6",3.7,https://www2.sgx.com/securities/equities/Z25
First Resources,1.850,"1,557.9",2.89,https://www2.sgx.com/securities/equities/EB5
TheHourGlass,0.800,"3,362",2.66,https://www2.sgx.com/securities/equities/AGS
Olam Intl,1.910,"1,058",2.02,https://www2.sgx.com/securities/equities/O32
SingPost,1.050,"1,903.8",1.99,https://www2.sgx.com/securities/equities/S08
Frencken,0.645,"2,918.5",1.89,https://www2.sgx.com/securities/equities/E28
JSH USD,36.980,51.1,1.89,https://www2.sgx.com/securities/equities/J37
Y Ventures,0.135,"14,092.9",1.83,https://www2.sgx.com/securities/equities/1F1
Japfa,0.690,"2,633.9",1.81,https://www2.sgx.com/securities/equities/UD2
China Everbright,0.395,"4,461.1",1.72,https://www2.sgx.com/securities/equities/U9E
InnoTek,0.585,"2,726.5",1.57,https://www2.sgx.com/securities/equities/M14
Frasers Property,1.870,823.1,1.55,https://www2.sgx.com/securities/equities/TQ5
SingMedical,0.470,"2,928.5",1.37,https://www2.sgx.com/securities/equities/5OT
China Sunsine,1.210,"1,060.9",1.29,https://www2.sgx.com/securities/equities/CH8
