,name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry,new PE ratio,new roe,new roa,aquirer multiple,normalized aquirer multiple,address
1,Genting Sing,0.935,0.945,0,26 Jul 2019,11428860000.0,12060000000.0,47.05%,0.06,586430000.0,0.98239,0.98155,15.319,4.563,10.562000000000001,1.426,3.7039999999999997,2.48,-3306440000.0,10.695,8253190000.000002,9767140000.0,4214240000.0,9.924,7.5889999999999995,-122100000.0,0,2504480000.0,975190000.0,37.931999999999995,743680000.0,29.694000000000003,-1.926,5.452999999999999,0,Services / Casinos & Gaming / ,15.583333333333336,0.043017569595241036,0.07614101978675436,0.09010818847015516,10.376415460950946,https://www2.sgx.com/securities/equities/G13
10,SPH,2.24,2.24,0,26 Jul 2019,3585450000.0,1610000000.0,94.38%,0.19,84390000.0,2.40291,2.40269,13.929,3.72,11.225,1.0659999999999998,3.795,3.795,1913290000.0,37.858000000000004,4711650000.0,6196690000.0,481160000.0,8.083,4.423,-22670000.0,0,963770000.0,199720000.0,20.252,244860000.0,29.315,-4.525,-8.177,0,Services / Printing & Publishing / ,11.789473684210527,0.05139194385210807,0.0395146441083869,0.051969055426442964,43.10257289879932,https://www2.sgx.com/securities/equities/T39
23,StarHub,1.52,1.52,0,26 Jul 2019,2632110000.0,1730000000.0,88.79%,0.11,44400000.0,1.5742200000000002,1.5743200000000002,14.272,1.099,5.303,4.527,9.375,6.029,1071900000.0,185.268,3494610000.0,2635500000.0,166000000.0,35.711999999999996,6.765,-272800000.0,0,2395800000.0,273500000.0,10.932,192700000.0,7.747000000000001,-0.142,-12.644,0,Services / Communications Services / ,13.818181818181818,0.11141304347826086,0.07311705558717511,0.05514206163205623,27.565164504411,https://www2.sgx.com/securities/equities/CC3
31,TheHourGlass,0.835,0.85,0,26 Jul 2019,599260000.0,705010000.0,27.81%,0.1,7070000.0,0.74336,0.75076,8.509,0.831,7.678,1.07,3.529,3.2319999999999998,-166000000.0,0.0,433260000.0,649140000.0,180970000.0,13.197000000000001,11.199000000000002,-19110000.0,0,720920000.0,82050000.0,11.380999999999998,70430000.0,9.905,1.093,5.095,0,Services / Retail (Specialty) / ,8.35,0.07070504261577537,0.1084973965554426,0.16255827909338502,5.136619338350134,https://www2.sgx.com/securities/equities/AGS
33,United Engineers,2.62,2.64,0,26 Jul 2019,1683050000.0,615810000.0,29.73%,0.09,17240000.0,2.49986,2.48585,30.91,4.742,24.805999999999997,0.838,1.136,1.785,846370000.0,37.799,2521390000.0,3621670000.0,251250000.0,2.911,1.4469999999999998,-12500000.0,0,354960000.0,55000000.0,14.619000000000002,54460000.0,14.470999999999998,-29.476,-13.573,0,Services / Real Estate Operations / ,29.11111111111111,0.017994085675108618,0.015037261815681716,0.021599197268173508,121.30080426000734,https://www2.sgx.com/securities/equities/U04
36,Sheng Siong,1.1,1.1,0,26 Jul 2019,1653890000.0,1500000000.0,40.90%,0.05,36180000.0,1.06907,1.0691899999999999,23.008000000000003,1.8090000000000002,17.714000000000002,5.341,3.091,3.8,-40400000.0,0.0,1566660000.0,436340000.0,87230000.0,25.244,16.289,-28170000.0,0,914090000.0,83790000.0,9.335,71880000.0,7.836,3.5869999999999997,10.862,0,Services / Retail (Department & Discount) / ,22.0,0.12745358795680622,0.16473392308750054,0.04588104630232469,23.97504173622705,https://www2.sgx.com/securities/equities/OV8
41,Frasers Property,1.84,1.82,0,26 Jul 2019,5313470000.0,2920000000.0,12.49%,0.28,4120000.0,1.80493,1.8050099999999998,7.315,1.119,4.268,0.565,4.725,5.086,12259040000.0,130.674,17654430000.0,32420940000.0,2585190000.0,7.4479999999999995,4.05,-1424170000.0,0,4747430000.0,879190000.0,21.415,731160000.0,26.916999999999998,-11.634,-24.743000000000002,0,Services / Real Estate Operations / ,6.571428571428571,0.03214301257875183,0.022552091333564048,0.04141510091234892,44.42823896274413,https://www2.sgx.com/securities/equities/TQ5
45,Koufu,0.755,0.745,0,26 Jul 2019,413600000.0,555160000.0,18.66%,0.05,25130000.0,0.73597,0.7356199999999999,15.731,1.8259999999999998,8.126,4.4,2.9530000000000003,0.0,80960000.0,4.774,322390000.0,159700000.0,95980000.0,36.478,0.0,-15090000.0,0,226540000.0,29050000.0,13.610999999999999,25270000.0,11.151,0.0,0.0,0,Services / Restaurants / ,15.1,0.14463141025641027,0.15823418910457107,0.07838332454480597,9.632150771666009,https://www2.sgx.com/securities/equities/VL6
47,Citic Envirotech,0.3,0.305,0,26 Jul 2019,741870000.0,2430000000.0,15.71%,0.04,43590000.0,0.42341999999999996,0.42341999999999996,16.31,0.919,6.4479999999999995,0.612,4.098,0.0,1128900000.0,85.042,1749060000.0,3786760000.0,376520000.0,5.37,1.982,-31100000.0,0,807380000.0,198150000.0,19.26,45580000.0,9.391,0.0,0.0,0,Services / Waste Management Services / ,7.5,0.015021190490314331,0.012036675152373005,0.026059712073913992,11.512022817025011,https://www2.sgx.com/securities/equities/CEE
58,SIIC Environment,0.255,0.24,0,26 Jul 2019,625580000.0,2610000000.0,44.23%,0.03,15590000.0,0.31823,0.31695,5.343,0.575,2.997,0.391,8.333,0.0,2377000000.0,110.89299999999999,2808550000.0,29718750000.0,2136290000.0,7.035,2.568,-298350000.0,0,1088590000.0,1463750000.0,28.313000000000002,117080000.0,13.309000000000001,13.270999999999999,8.935,0,Services / Waste Management Services / ,8.5,0.0039717701719653,0.003939600420609884,0.04168699150807356,6.117016142808336,https://www2.sgx.com/securities/equities/BHK
